2013122203,HOU,2.594,3.72,0.538,0.542,16.6,18.6
2013122204,JAX,5.231,2.656,0.714,0.769,40.8,21.25
2013122205,IND,1.833,4.353,0.5,0.684,11.0,33.636
2013122207,CHI,3.543,4.659,0.556,0.65,24.8,31.833
2013122208,LA,3.0,3.509,0.857,0.714,33.0,26.571
2013122209,WAS,4.156,3.1,0.714,0.5,37.4,31.0
2013122210,DET,4.452,4.515,0.6,0.679,69.0,27.909
2013122211,ARI,5.216,2.907,0.6,0.5,32.167,14.273
2013122212,GB,4.085,4.703,0.586,0.5,40.167,24.857
2013122213,LV,3.167,4.0,1.0,0.541,19.0,29.333
2013122214,NE,2.692,3.701,0.25,0.56,17.5,23.75
2013122900,ATL,3.773,3.758,0.9,0.656,27.667,31.0
2013122901,CHI,6.214,5.3,0.571,0.667,43.5,33.125
2013122902,CIN,6.75,4.648,0.688,0.636,43.2,31.375
2013122903,DAL,6.286,31.893,1.0,0.674,44.0,199.333
2013122904,JAX,2.522,5.842,0.444,0.643,14.5,66.6
2013122906,MIN,6.372,4.367,0.609,0.636,45.667,26.2
2013122907,NE,4.0,4.293,0.333,0.583,36.0,25.143
2013122908,NO,7.305,2.667,0.786,0.667,71.833,12.8
2013122909,WAS,1.739,3.191,0.4,0.436,8.0,19.727
2013122910,CLE,3.786,4.098,0.667,0.583,53.0,35.714
2013122911,HOU,4.576,4.297,0.688,0.65,50.333,17.667
2013122912,ARI,4.465,6.413,0.545,0.63,32.0,59.0
2013122913,LV,2.074,4.167,0.545,0.536,11.2,40.0
2013122914,KC,7.0,3.234,0.667,0.655,38.5,27.667
2013122915,LA,2.917,3.167,0.714,0.722,15.0,23.75
2014010400,KC,7.633,4.014,0.538,0.657,76.333,36.125
2014010401,NO,5.6,5.524,0.636,0.762,46.667,38.667
2014010500,SD,4.8,4.0,1.0,0.667,48.0,24.889
2014010501,GB,0.778,4.368,0.0,0.704,2.333,33.0
2014011100,NO,4.357,5.274,0.75,0.524,30.5,48.125
2014011101,IND,5.688,5.292,0.625,0.56,36.4,31.75
2014011200,SF,2.429,4.132,0.571,0.4,34.0,31.222
2014011201,SD,0.733,4.98,0.5,0.68,5.5,40.667
2014011901,SEA,3.432,3.382,0.667,0.538,30.2,19.167
2014090400,GB,3.2,4.679,0.75,0.714,21.333,41.333
2014090700,NO,5.091,5.261,0.692,0.667,56.0,45.375
2014090701,CIN,3.809,5.514,0.682,0.588,35.8,34.0
2014090702,BUF,5.045,5.113,0.875,0.733,37.0,33.875
2014090703,HOU,3.625,4.772,0.625,0.625,19.333,38.857
2014090704,KC,5.15,3.9,0.857,0.552,34.333,21.667
2014090705,NE,4.25,3.341,0.889,0.462,42.5,27.4
2014090706,NYJ,5.679,4.69,0.909,0.75,53.0,27.2
2014090707,JAX,5.2,3.133,1.0,0.512,26.0,21.667
2014090708,PIT,6.812,3.577,0.84,0.6,54.5,15.5
2014090709,MIN,3.61,5.308,0.538,0.833,24.667,29.571
2014090710,DAL,4.667,5.569,0.714,0.657,42.0,45.25
2014090711,CAR,3.733,3.958,0.857,0.692,28.0,28.1
2014090712,IND,3.85,5.014,0.667,0.681,25.667,43.875
2014090800,DET,11.0,4.338,0.875,0.63,165.0,32.778
2014090801,ARI,8.455,4.149,0.5,0.618,93.0,30.7
2014091100,PIT,4.385,4.911,0.833,0.594,57.0,30.556
2014091401,DET,5.522,3.683,0.625,0.529,63.5,24.556
2014091404,MIN,7.2,2.948,0.857,0.545,48.0,17.1
2014091405,ARI,4.067,3.42,0.429,0.444,30.5,26.222
2014091406,DAL,3.333,3.933,0.75,0.63,30.0,35.4
2014091408,SEA,5.75,5.261,0.75,0.667,46.0,30.25
2014091409,TB,4.143,5.812,0.909,0.636,29.0,62.0
2014091410,DEN,8.167,5.196,0.778,0.789,49.0,59.75
2014091411,GB,3.886,5.226,0.474,0.68,34.0,27.7
2014091412,LV,7.909,5.28,0.727,0.656,58.0,44.0
2014091413,CHI,1.7,3.618,0.5,0.629,8.5,22.364
2014091500,IND,7.444,3.494,0.667,0.613,67.0,25.727
2014091800,ATL,7.786,5.316,0.857,0.87,109.0,31.077
2014092100,BUF,4.76,3.677,0.636,0.5,47.6,38.0
2014092101,TEN,4.703,4.222,0.643,0.5,34.8,27.143
2014092103,DET,4.638,3.556,0.643,0.857,44.833,48.0
2014092104,JAX,0.81,7.255,0.5,0.63,4.25,46.25
2014092105,LV,3.028,3.649,0.684,0.5,21.8,27.0
2014092106,NO,5.634,3.976,0.789,0.706,46.2,41.75
2014092107,NYG,1.857,4.904,1.0,0.714,13.0,37.0
2014092108,WAS,6.0,5.13,0.833,0.553,66.0,35.909
2014092109,LA,4.444,6.029,0.857,0.711,80.0,59.429
2014092110,ARI,4.725,2.583,0.559,0.333,65.2,15.5
2014092111,MIA,2.857,4.321,1.0,0.465,20.0,30.636
2014092112,SEA,4.452,4.045,0.727,0.692,27.6,33.375
2014092113,PIT,3.804,6.821,0.652,0.8,32.333,66.5
2014092200,NYJ,8.333,4.169,0.909,0.545,66.667,27.1
2014092500,NYG,5.05,4.131,0.889,0.522,40.4,31.5
2014092800,CAR,4.526,5.0,0.565,0.643,43.0,35.0
2014092801,CHI,5.208,7.156,0.714,0.69,125.0,57.25
2014092802,BUF,2.194,5.754,0.462,0.548,17.0,29.818
2014092803,IND,4.462,4.719,0.5,0.722,58.0,41.182
2014092805,DET,5.29,3.827,0.733,0.684,41.0,24.875
2014092806,LV,4.182,5.842,0.75,0.649,30.667,37.0
2014092807,PIT,4.957,3.042,0.727,0.6,48.857,18.25
2014092808,JAX,4.826,4.519,0.85,0.778,44.4,61.0
2014092809,PHI,3.667,3.51,0.5,0.588,25.667,24.571
2014092810,DAL,5.29,5.698,0.786,0.733,54.667,37.75
2014092900,KC,7.244,3.55,0.833,0.667,65.2,23.667
2014100200,GB,5.103,3.87,0.6,0.714,24.667,29.667
2014100500,CAR,2.375,4.342,0.25,0.606,19.0,28.818
2014100501,HOU,2.889,5.091,0.667,0.7,13.0,37.333
